##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
546;1086;1202;1496;2151
547;1086;1196;1468;2151
548;1086;1207;1519;2151
549;1086;1207;1523;2151
550;1086;1196;1471;2151
551;1086;1200;1484;2151
552;1086;1210;1537;2151
553;1081;1202;1498;2151
554;1081;1208;1524;2151
555;1081;1204;1498;2151
556;1081;1196;1477;2151
557;1081;1204;1509;2151
558;1081;1208;1529;2151
559;1081;1195;1475;2151
560;1081;1208;1526;2151
561;1081;1196;1475;2151
562;1081;1191;1452;2151
563;1081;1197;1481;2151
564;1081;1195;1469;2151
565;1081;1204;1513;2151
566;1081;1207;1523;2151
567;1081;1196;1478;2151
568;1081;1203;1516;2151
569;1081;1194;1475;2151
570;1081;1197;1486;2151
571;1081;1197;1489;2151
572;1081;1198;1496;2151
573;1081;1200;1493;2151
574;1081;1194;1473;2151
575;1081;1197;1488;2151
576;1081;1196;1480;2151
577;1081;1205;1519;2151
578;1081;1202;1515;2151
579;1077;1203;1528;2151
580;1077;1191;1459;2151
581;1077;1200;1504;2151
582;1077;1210;1553;2151
583;1077;1199;1506;2151
584;1073;1194;1482;2151
585;1073;1189;1462;2151
586;1073;1197;1496;2151
587;1073;1194;1486;2151
588;1073;1185;1442;2151
589;1073;1196;1489;2151
590;1073;1203;1523;2151
591;1073;1207;1544;2151
592;1073;1195;1489;2151
593;1073;1189;1463;2151
594;1073;1193;1475;2151
595;1073;1194;1484;2151
596;1073;1199;1505;2151
597;1073;1200;1511;2151
598;1073;1191;1477;2151
599;1073;1191;1479;2151
600;1073;1185;1456;2128
601;1070;1198;1509;2128
602;1070;1198;1516;2128
603;1070;1191;1478;2128
604;1070;1200;1517;2128
605;1070;1189;1465;2128
606;1070;1191;1484;2128
607;1070;1191;1486;2128
608;1070;1193;1493;2128
609;1070;1191;1484;2128
610;1070;1197;1507;2128
611;1070;1194;1498;2128
612;1070;1186;1464;2128
613;1070;1191;1484;2128
614;1070;1200;1530;2128
615;1060;1190;1480;2128
616;1060;1177;1423;2128
617;1060;1192;1486;2128
618;1060;1194;1501;2128
619;1060;1190;1481;2128
620;1060;1186;1468;2128
621;1060;1186;1468;2128
622;1060;1185;1466;2128
623;1060;1185;1467;2128
624;1060;1187;1479;2128
625;1060;1191;1500;2128
626;1060;1193;1505;2128
627;1060;1184;1462;2128
628;1060;1190;1490;2128
629;1060;1191;1494;2128
630;1060;1195;1517;2128
631;1060;1186;1473;2128
632;1060;1190;1499;2128
633;1060;1183;1464;2128
634;1060;1175;1433;2128
635;1060;1190;1494;2128
636;1060;1182;1466;2128
637;1060;1184;1470;2128
638;1060;1183;1470;2128
639;1060;1182;1464;2128
640;1060;1193;1519;2128
641;1060;1177;1439;2128
642;1060;1185;1477;2128
643;1057;1187;1488;2128
644;1057;1182;1468;2128
645;1057;1190;1501;2128
646;1057;1187;1490;2128
647;1057;1183;1475;2128
648;1057;1190;1508;2128
649;1057;1182;1476;2128
650;1057;1179;1460;2128
651;1057;1184;1478;2128
652;1057;1179;1460;2128
653;1057;1184;1484;2128
654;1057;1183;1467;2128
655;1057;1196;1534;2128
656;1057;1174;1433;2128
657;1057;1183;1471;2128
658;1057;1196;1549;2128
659;1057;1183;1478;2128
660;1057;1182;1474;2128
661;1057;1178;1464;2128
662;1057;1183;1481;2128
663;1057;1173;1434;2128
664;1057;1181;1480;2128
665;1057;1182;1473;2128
666;1057;1182;1474;2128
667;1057;1189;1511;2128
668;1057;1179;1468;2128
669;1057;1183;1486;2128
670;1057;1189;1521;2128
671;1057;1168;1407;2128
672;1057;1177;1457;2128
673;1057;1181;1475;2128
674;1057;1176;1458;2128
675;1057;1181;1482;2128
676;1057;1181;1483;2128
677;1057;1184;1493;2128
678;1057;1180;1482;2128
679;1057;1180;1479;2128
680;1057;1178;1463;2128
681;1057;1181;1485;2128
682;1057;1183;1488;2128
683;1057;1171;1428;2128
684;1057;1179;1470;2128
685;1057;1180;1472;2128
686;1057;1180;1484;2128
687;1057;1181;1486;2128
688;1057;1171;1437;2128
689;1057;1183;1498;2128
690;1057;1176;1465;2128
691;1057;1181;1477;2128
692;1057;1173;1451;2128
693;1057;1168;1433;2128
694;1057;1177;1469;2128
695;1057;1178;1478;2128
696;1057;1185;1507;2128
697;1057;1178;1485;2128
698;1057;1167;1431;2128
699;1057;1185;1521;2128
700;1057;1184;1500;2082
701;1057;1175;1466;2082
702;1057;1181;1494;2082
703;1057;1161;1406;2082
704;1057;1177;1475;2082
705;1057;1176;1468;2082
706;1055;1168;1441;2082
707;1055;1166;1429;2082
708;1055;1179;1496;2082
709;1055;1175;1472;2082
710;1055;1174;1465;2082
711;1055;1164;1419;2082
712;1055;1168;1447;2082
713;1055;1171;1453;2082
714;1055;1174;1467;2082
715;1047;1170;1464;2082
716;1047;1167;1434;2082
717;1047;1166;1440;2082
718;1047;1175;1479;2082
719;1047;1176;1480;2082
720;1047;1171;1457;2082
721;1047;1181;1498;2082
722;1047;1170;1455;2082
723;1047;1171;1460;2082
724;1047;1181;1511;2082
725;1047;1173;1471;2082
726;1047;1168;1444;2082
727;1047;1183;1521;2082
728;1047;1173;1480;2082
729;1047;1159;1409;2082
730;1047;1174;1485;2082
731;1047;1176;1486;2082
732;1047;1173;1475;2082
733;1047;1179;1508;2082
734;1047;1166;1443;2082
735;1047;1177;1487;2082
736;1047;1179;1500;2082
737;1047;1176;1493;2082
738;1047;1170;1464;2082
739;1047;1176;1497;2082
740;1047;1169;1467;2082
741;1047;1177;1506;2082
742;1047;1163;1437;2082
743;1047;1175;1493;2082
744;1047;1168;1455;2082
745;1047;1167;1452;2082
746;1047;1167;1457;2082
747;1047;1168;1458;2082
748;1047;1176;1497;2082
749;1047;1169;1468;2082
750;1047;1161;1427;2082
751;1047;1171;1469;2082
752;1047;1162;1433;2082
753;1047;1165;1451;2082
754;1047;1173;1492;2082
755;1047;1179;1517;2082
756;1047;1173;1489;2082
757;1047;1172;1493;2082
758;1047;1171;1475;2082
759;1047;1166;1460;2082
760;1047;1168;1463;2082
761;1047;1178;1511;2082
762;1047;1164;1440;2082
763;1047;1169;1469;2082
764;1047;1167;1466;2082
765;1047;1170;1473;2082
766;1047;1164;1443;2082
767;1047;1172;1492;2082
768;1047;1173;1485;2082
769;1047;1172;1498;2082
770;1047;1171;1483;2082
771;1047;1171;1493;2082
772;1047;1164;1448;2082
773;1047;1170;1479;2082
774;1047;1158;1428;2082
775;1047;1166;1458;2082
776;1047;1165;1457;2082
777;1047;1168;1468;2082
778;1047;1166;1459;2082
779;1047;1167;1455;2082
780;1047;1165;1454;2082
781;1047;1167;1463;2082
782;1047;1169;1475;2082
783;1047;1172;1494;2082
784;1047;1173;1504;2082
785;1047;1162;1444;2082
786;1047;1158;1431;2082
787;1047;1174;1516;2082
788;1047;1162;1448;2082
789;1047;1162;1457;2082
790;1047;1180;1527;2082
791;1047;1161;1450;2082
792;1047;1167;1472;2082
793;1047;1163;1459;2082
794;1047;1165;1467;2082
795;1047;1166;1462;2082
796;1047;1162;1461;2082
797;1047;1177;1525;2082
798;1047;1171;1505;2082
799;1047;1169;1486;2082
800;1047;1161;1452;2096
801;1047;1171;1499;2096
802;1047;1164;1464;2096
803;1047;1167;1479;2096
804;1047;1166;1468;2096
805;1047;1154;1418;2096
806;1047;1175;1514;2096
807;1047;1165;1472;2096
808;1047;1162;1470;2096
809;1047;1164;1463;2096
810;1047;1166;1479;2096
811;1047;1169;1491;2096
812;1047;1165;1474;2096
813;1047;1170;1494;2096
814;1047;1159;1452;2096
815;1047;1151;1413;2096
816;1047;1164;1471;2096
817;1047;1150;1409;2096
818;1047;1168;1496;2096
819;1047;1164;1470;2096
820;1047;1164;1472;2096
821;1047;1157;1439;2096
822;1047;1168;1489;2096
823;1047;1167;1478;2096
824;1047;1173;1516;2096
825;1047;1169;1502;2096
826;1047;1168;1484;2096
827;1047;1152;1422;2096
828;1047;1153;1425;2096
829;1047;1161;1467;2096
830;1047;1153;1422;2096
831;1047;1160;1461;2096
832;1047;1154;1429;2096
833;1047;1163;1471;2096
834;1047;1157;1448;2096
835;1047;1158;1453;2096
836;1047;1162;1465;2096
837;1047;1157;1447;2096
838;1047;1153;1424;2096
839;1047;1161;1474;2096
840;1047;1166;1492;2096
841;1047;1154;1432;2096
842;1047;1165;1488;2096
843;1047;1168;1500;2096
844;1047;1160;1461;2096
845;1047;1159;1448;2096
846;1047;1164;1485;2096
847;1047;1150;1424;2096
848;1047;1163;1482;2096
849;1047;1156;1449;2096
850;1047;1165;1498;2096
851;1047;1157;1463;2096
852;1047;1164;1486;2096
853;1047;1157;1460;2096
854;1047;1164;1498;2096
